@relation german_credit-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,0.647059,'existing paid',business,0.223286,<100,<1,0.666667,'female div/dep/mar',none,1,'life insurance',0.089286,none,rent,0,skilled,0,none,yes,bad
0<=X<200,0.117647,'existing paid',radio/tv,0.072466,<100,1<=X<4,0,'female div/dep/mar',none,0,car,0.053571,none,own,0,skilled,0,yes,yes,good
<0,0.294118,'critical/other existing credit','new car',0.052217,<100,>=7,1,'male single',none,1,car,0.732143,none,own,0.333333,'unskilled resident',0,none,yes,bad
<0,0.161765,'existing paid','new car',0.063442,<100,1<=X<4,0.333333,'female div/dep/mar',none,1,car,0.160714,none,rent,0,skilled,0,none,yes,good
<0,0.294118,'existing paid',radio/tv,0.056784,100<=X<500,1<=X<4,1,'female div/dep/mar',none,0.333333,car,0.232143,none,own,0,'unskilled resident',0,none,yes,bad
'no checking',0.294118,'critical/other existing credit',radio/tv,0.119621,'no known savings',>=7,1,'male single',none,1,'life insurance',0.607143,none,own,0.333333,skilled,0,none,yes,good
<0,0.382353,'no credits/all paid',business,0.430395,'no known savings',<1,0.333333,'male single',none,0.666667,car,0.107143,bank,own,0.666667,skilled,0,none,yes,good
0<=X<200,0.294118,'existing paid','used car',0.678387,<100,>=7,1,'female div/dep/mar',none,0.333333,'no known property',0.446429,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.294118,'existing paid',radio/tv,0.174975,500<=X<1000,>=7,0.666667,'male single',none,0.333333,car,0.214286,none,own,0,skilled,1,yes,yes,good
'no checking',0.073529,'critical/other existing credit','new car',0.103665,<100,1<=X<4,1,'male single',none,1,car,0.517857,none,own,0.666667,skilled,0,yes,yes,good
<0,0.029412,'existing paid',radio/tv,0.131892,500<=X<1000,1<=X<4,0.333333,'male single',none,0.666667,'real estate',0.446429,none,rent,0,skilled,1,none,yes,good
<0,0.088235,'critical/other existing credit','new car',0.109552,<100,<1,0,'male single',none,0.666667,'real estate',0.517857,none,rent,0.333333,'unskilled resident',1,none,no,good
0<=X<200,0.117647,'critical/other existing credit','used car',0.085507,100<=X<500,<1,0.666667,'male single',none,1,'life insurance',0.446429,none,own,0,skilled,0,none,yes,good
'no checking',0.088235,'critical/other existing credit',furniture/equipment,0.100088,'no known savings',1<=X<4,0.333333,'male mar/wid',none,0,car,0.125,none,own,0.333333,skilled,0,none,no,good
<0,0.029412,'existing paid',furniture/equipment,0.061847,<100,1<=X<4,0,'male single',none,0.333333,'real estate',0.303571,bank,own,0,'unskilled resident',0,yes,yes,good
'no checking',0.029412,'no credits/all paid',radio/tv,0.009684,<100,>=7,1,'male mar/wid',none,1,car,0.357143,none,own,0,'unskilled resident',0,none,yes,good
>=200,0.117647,'all paid',radio/tv,0.008749,>=1000,1<=X<4,0.666667,'female div/dep/mar',none,0.666667,'real estate',0.410714,none,rent,0.333333,skilled,0,none,yes,good
0<=X<200,0.044118,'existing paid',radio/tv,0.119126,<100,1<=X<4,0.666667,'male single',guarantor,0.333333,'real estate',0.267857,none,own,0,skilled,0,none,yes,good
<0,0.823529,'delayed previously',business,0.362386,<100,>=7,0.666667,'male single',none,1,'no known property',0.785714,none,own,0.333333,skilled,0,yes,yes,bad
0<=X<200,0.205882,'existing paid',business,0.091504,>=1000,<1,0.666667,'male mar/wid',none,0.666667,'real estate',0.303571,bank,own,0,skilled,0,yes,yes,good
<0,0.294118,'existing paid',furniture/equipment,0.207439,<100,1<=X<4,0.333333,'male single',none,0.333333,car,0.142857,stores,own,0,skilled,0,none,yes,good
0<=X<200,0.205882,'existing paid','new car',0.309013,100<=X<500,1<=X<4,0.333333,'male single',none,0.333333,car,0.196429,none,own,0.333333,skilled,0,yes,yes,good
'no checking',0.117647,'critical/other existing credit',business,0.055794,'no known savings',>=7,1,'male single',none,1,'no known property',0.678571,none,rent,0,'unskilled resident',0,none,yes,good
>=200,0.117647,'existing paid',furniture/equipment,0.067349,<100,<1,1,'female div/dep/mar',none,0,'life insurance',0.25,bank,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.602941,'critical/other existing credit',radio/tv,0.247386,<100,<1,1,'male single',none,0.333333,'life insurance',0.107143,none,own,0.333333,'unskilled resident',0,none,yes,bad
'no checking',0.647059,'critical/other existing credit',education,0.322439,<100,1<=X<4,0,'male single',none,0.666667,'no known property',0.214286,bank,'for free',0,skilled,0,yes,yes,good
>=200,0.205882,'existing paid',radio/tv,0.101794,<100,1<=X<4,1,'male single','co applicant',0.333333,'real estate',0.321429,stores,own,0,skilled,0,none,yes,bad
>=200,0.088235,'existing paid','domestic appliance',0.053648,<100,1<=X<4,0.333333,'male single',none,0.333333,car,0.321429,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.073529,'existing paid',radio/tv,0.011445,<100,1<=X<4,1,'male single',none,0.666667,'real estate',0.089286,none,own,0,skilled,0,none,yes,good
'no checking',0.382353,'existing paid',radio/tv,0.114614,500<=X<1000,>=7,1,'male single',none,0.333333,car,0.196429,bank,own,0,'high qualif/self emp/mgmt',0,none,yes,good
0<=X<200,0.117647,'existing paid',radio/tv,0.049961,500<=X<1000,1<=X<4,0.666667,'male div/sep',none,0,car,0.125,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.205882,'delayed previously',repairs,0.327611,<100,1<=X<4,0.333333,'male single',none,1,'real estate',0.446429,none,own,0,'unskilled resident',1,yes,yes,good
<0,0.382353,'critical/other existing credit','used car',0.326675,100<=X<500,4<=X<7,0,'male mar/wid',none,1,car,0.089286,none,rent,0.333333,skilled,0,none,yes,good
<0,0.647059,'critical/other existing credit','used car',0.324254,<100,>=7,1,'female div/dep/mar',none,1,'no known property',0.696429,stores,'for free',0.333333,'unskilled resident',0,none,yes,bad
'no checking',0.102941,'critical/other existing credit','new car',0.062892,<100,<1,1,'female div/dep/mar',none,1,car,0.285714,none,own,0.333333,'high qualif/self emp/mgmt',0,none,yes,good
'no checking',0.470588,'existing paid',radio/tv,0.112743,500<=X<1000,>=7,1,'male single',none,1,car,0.357143,none,own,0,skilled,0,none,yes,good
<0,0.029412,'existing paid','used car',0.060636,500<=X<1000,unemployed,0,'female div/dep/mar',none,0.333333,'life insurance',0.071429,none,rent,0,'unemp/unskilled non res',0,yes,yes,good
'no checking',0.102941,'critical/other existing credit','new car',0.383955,<100,1<=X<4,0,'male single',none,1,'life insurance',0.357143,none,own,0.333333,'unskilled resident',0,none,yes,good
'no checking',0.117647,'existing paid',radio/tv,0.100308,100<=X<500,1<=X<4,1,'female div/dep/mar','co applicant',0.333333,'real estate',0.160714,none,own,0,skilled,0,none,yes,good
0<=X<200,0.294118,'delayed previously',furniture/equipment,0.114614,'no known savings',<1,1,'male single',none,0.333333,'life insurance',0.178571,bank,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.338235,'delayed previously','used car',0.31446,<100,>=7,0,'male single',none,0.333333,car,0.196429,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.117647,'existing paid',radio/tv,0.055684,<100,1<=X<4,0.666667,'male single',none,0.333333,car,0.107143,none,own,0,skilled,0,none,yes,good
'no checking',0.205882,'existing paid','used car',0.172114,'no known savings',1<=X<4,0.333333,'male single',none,0,'life insurance',0.214286,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.470588,'delayed previously','new car',0.108672,<100,>=7,1,'male single',none,1,'no known property',0.678571,bank,'for free',0.333333,skilled,0,yes,yes,bad
'no checking',0.029412,'all paid','new car',0.029328,'no known savings',1<=X<4,0,'male single',guarantor,0.333333,'real estate',0.125,stores,own,0,'unskilled resident',1,none,yes,good
0<=X<200,0.117647,'existing paid',radio/tv,0.342137,'no known savings',unemployed,0.333333,'male single',none,0,'no known property',0.589286,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.470588,'critical/other existing credit',radio/tv,0.5126,<100,1<=X<4,0.333333,'female div/dep/mar',none,0.333333,car,0.214286,stores,own,0.333333,skilled,0,none,yes,good
>=200,0.205882,'existing paid','new car',0.094145,<100,>=7,0.666667,'female div/dep/mar',none,0.333333,car,0.071429,none,own,0,'high qualif/self emp/mgmt',0,none,yes,good
<0,0.470588,'critical/other existing credit',furniture/equipment,0.328986,<100,<1,1,'female div/dep/mar','co applicant',1,'no known property',0.071429,none,rent,0.333333,'unskilled resident',0,yes,yes,bad
0<=X<200,0.073529,'existing paid',business,0.062782,<100,1<=X<4,0.333333,'male mar/wid',none,0,'real estate',0.142857,bank,own,0,skilled,0,yes,yes,good
0<=X<200,0.161765,'critical/other existing credit',radio/tv,0.070815,'no known savings',>=7,1,'male single',guarantor,1,'real estate',0.553571,none,own,0.333333,skilled,0,yes,yes,good
0<=X<200,0.470588,'no credits/all paid',business,0.093705,<100,>=7,1,'male single',none,1,'no known property',0.75,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad
0<=X<200,0.647059,'no credits/all paid',business,0.77974,<100,1<=X<4,0.333333,'male single',none,0.333333,car,0.107143,none,own,0,skilled,0,yes,yes,bad
'no checking',0.294118,'existing paid',radio/tv,0.161274,<100,<1,1,'female div/dep/mar',none,1,'life insurance',0.125,none,own,0,skilled,0,yes,yes,good
'no checking',0.338235,'existing paid',repairs,0.271817,'no known savings',>=7,1,'male single',none,1,'life insurance',0.517857,none,own,1,skilled,1,yes,yes,good
'no checking',0.117647,'existing paid',radio/tv,0.1057,<100,<1,0.333333,'female div/dep/mar',none,0.333333,car,0.178571,bank,own,0,skilled,0,none,yes,good
0<=X<200,0.117647,'existing paid','new car',0.041653,>=1000,1<=X<4,1,'male mar/wid',none,0,'real estate',0.053571,none,own,0,skilled,0,none,yes,good
'no checking',0.470588,'existing paid',education,0.086332,<100,1<=X<4,1,'male single',none,1,'no known property',0.321429,stores,'for free',0,skilled,0,yes,yes,bad
'no checking',0.470588,'existing paid',radio/tv,0.117971,'no known savings',1<=X<4,1,'female div/dep/mar',none,1,car,0.107143,none,own,0,skilled,0,none,yes,good
'no checking',0.470588,'existing paid','used car',0.433752,<100,1<=X<4,0,'female div/dep/mar',none,0.333333,'life insurance',0.196429,bank,own,0,skilled,0,none,yes,good
'no checking',0.044118,'critical/other existing credit',radio/tv,0.026411,'no known savings',>=7,1,'male single',none,0.333333,'life insurance',0.482143,none,rent,0.333333,'unskilled resident',0,yes,yes,good
<0,0.058824,'critical/other existing credit',other,0.050292,<100,>=7,0.666667,'male single',none,1,'no known property',0.571429,bank,'for free',0.333333,'high qualif/self emp/mgmt',1,yes,yes,good
0<=X<200,0.558824,'critical/other existing credit',business,0.313855,<100,4<=X<7,0.333333,'female div/dep/mar',none,0,'real estate',0.392857,bank,own,0.333333,'unskilled resident',0,none,yes,good
<0,0.470588,'existing paid',education,0.095026,'no known savings',>=7,1,'male single',none,1,'no known property',0.375,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
<0,0.117647,'critical/other existing credit','used car',0.07021,<100,>=7,1,'male single',none,1,'no known property',0.839286,none,'for free',0.333333,'high qualif/self emp/mgmt',0,none,yes,good
<0,0.558824,'existing paid',radio/tv,0.204413,<100,<1,1,'male single',none,0.666667,car,0.267857,none,own,0,skilled,0,none,yes,bad
0<=X<200,0.102941,'delayed previously',radio/tv,0.248762,<100,4<=X<7,0.333333,'male single',none,1,'life insurance',0.571429,none,own,0,skilled,0,none,yes,good
'no checking',0.735294,'no credits/all paid','used car',0.505447,'no known savings',1<=X<4,0.333333,'male single',none,0.333333,'life insurance',0.357143,none,own,0,'unskilled resident',1,none,yes,good
0<=X<200,0.382353,'existing paid',furniture/equipment,0.197095,<100,<1,0.333333,'male mar/wid',none,0,'life insurance',0.053571,none,own,0,skilled,0,none,yes,good
'no checking',0.294118,'existing paid',radio/tv,0.31325,'no known savings',<1,0,'female div/dep/mar',none,0,car,0.446429,none,own,0.333333,skilled,0,yes,yes,bad
'no checking',0.161765,'existing paid',radio/tv,0.052988,500<=X<1000,>=7,1,'male single',none,0.666667,'life insurance',0.5,stores,own,0,skilled,0,yes,yes,good
'no checking',0.205882,'existing paid',business,0.072521,100<=X<500,1<=X<4,0.666667,'female div/dep/mar',none,1,'life insurance',0.089286,none,rent,0,'unskilled resident',0,none,yes,good
<0,0.294118,'existing paid',other,0.082811,<100,>=7,1,'female div/dep/mar',guarantor,1,'real estate',0.696429,none,own,0,'unskilled resident',0,yes,yes,good
<0,0.088235,'existing paid',radio/tv,0.113624,<100,>=7,0.666667,'male single',none,1,'real estate',0.589286,none,own,0,'unskilled resident',0,none,yes,good
'no checking',0.117647,'critical/other existing credit',business,0.063937,<100,1<=X<4,1,'female div/dep/mar',guarantor,0.333333,'real estate',0.178571,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.205882,'critical/other existing credit',furniture/equipment,0.0575,<100,<1,1,'female div/dep/mar',none,0,'life insurance',0.142857,none,own,0.333333,skilled,0,none,yes,good
0<=X<200,0.470588,'existing paid',education,0.680202,100<=X<500,1<=X<4,0,'male single',none,1,'no known property',0.5,none,'for free',0,skilled,1,yes,yes,bad
<0,0.205882,'existing paid','new car',0.109992,100<=X<500,4<=X<7,1,'male single',none,0.666667,car,0.196429,none,own,0,'high qualif/self emp/mgmt',1,yes,yes,good
<0,0.117647,'no credits/all paid',repairs,0.04721,<100,4<=X<7,1,'male single',none,0.666667,'real estate',0.160714,none,own,0.333333,skilled,0,none,yes,bad
'no checking',0.117647,'critical/other existing credit',radio/tv,0.020249,<100,>=7,1,'male single',none,1,'real estate',0.660714,none,own,0,skilled,0,none,yes,good
<0,0.117647,'critical/other existing credit','used car',0.063772,<100,>=7,1,'male single',none,0.666667,'real estate',0.625,none,own,0,skilled,0,none,yes,good
'no checking',0.117647,'critical/other existing credit',radio/tv,0.030098,'no known savings',>=7,1,'female div/dep/mar',none,0.666667,'life insurance',0.25,bank,own,0,'unskilled resident',1,none,yes,bad
>=200,0.294118,'critical/other existing credit',furniture/equipment,0.185265,'no known savings',>=7,1,'male single','co applicant',1,'no known property',0.017857,none,rent,0.333333,skilled,0,none,yes,good
0<=X<200,0.117647,'existing paid','new car',0.058765,>=1000,>=7,1,'male single',none,1,'real estate',0.625,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.735294,'no credits/all paid',business,0.863596,<100,<1,0.666667,'male single',none,1,'no known property',0.696429,none,rent,0,skilled,0,yes,yes,bad
'no checking',0.117647,'critical/other existing credit',education,0.096952,'no known savings',4<=X<7,1,'female div/dep/mar',none,0.333333,car,0.75,none,own,0,skilled,0,none,yes,good
0<=X<200,0.205882,'existing paid',business,0.130516,100<=X<500,1<=X<4,1,'male single',none,1,car,0.267857,none,own,0,skilled,0,none,yes,good
0<=X<200,0.470588,'critical/other existing credit',radio/tv,0.114834,<100,>=7,1,'male single',none,1,'real estate',0.303571,none,own,0,skilled,0,none,yes,good
0<=X<200,0.235294,'delayed previously','used car',0.374546,'no known savings',4<=X<7,0.666667,'male single',none,1,'life insurance',0.303571,bank,rent,0.333333,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',0.294118,'existing paid','new car',0.067074,100<=X<500,>=7,1,'male mar/wid',none,1,'real estate',0.392857,none,rent,0,'unskilled resident',0,none,yes,good
0<=X<200,0.470588,'existing paid',radio/tv,0.114064,<100,4<=X<7,1,'male single',none,1,car,0.089286,none,rent,0,skilled,0,none,yes,good
'no checking',0.029412,'delayed previously',radio/tv,0.037526,<100,1<=X<4,0.666667,'female div/dep/mar',none,0.333333,'real estate',0.089286,none,own,0,skilled,0,none,yes,good
0<=X<200,0.073529,'critical/other existing credit',furniture/equipment,0.091834,<100,4<=X<7,1,'male single',none,0.666667,car,0.285714,none,rent,0,skilled,0,yes,yes,good
'no checking',0.117647,'existing paid','used car',0.120777,'no known savings',<1,0.333333,'male mar/wid',none,1,car,0.125,none,rent,0,skilled,0,yes,yes,good
0<=X<200,0.294118,'critical/other existing credit',other,0.643117,<100,1<=X<4,0.333333,'male single','co applicant',0.666667,car,0.357143,none,own,0.333333,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',0.205882,'all paid','new car',0.341587,<100,>=7,0.333333,'male single',none,1,'no known property',0.357143,bank,own,0.333333,'high qualif/self emp/mgmt',1,yes,yes,bad
0<=X<200,0.117647,'existing paid','new car',0.320678,<100,4<=X<7,0.333333,'male single',none,0.333333,car,0.232143,none,own,0,skilled,0,none,yes,good
<0,0.294118,'existing paid',furniture/equipment,0.411082,'no known savings',<1,0,'female div/dep/mar',none,0.333333,'life insurance',0.196429,none,own,0,skilled,0,yes,no,good
0<=X<200,0.147059,'existing paid',business,0.063827,500<=X<1000,>=7,0,'male mar/wid',none,0.333333,'real estate',0.285714,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.029412,'delayed previously',business,0.065973,100<=X<500,>=7,0,'male div/sep',none,0.333333,car,0.214286,bank,own,0.333333,skilled,1,none,yes,good
>=200,0.161765,'existing paid',education,0.007813,<100,<1,1,'female div/dep/mar',none,1,'life insurance',0.071429,none,rent,0,skilled,0,yes,yes,good
0<=X<200,0.205882,'existing paid','new car',0.330692,<100,4<=X<7,0.666667,'male single',none,0.666667,'real estate',0.160714,none,rent,0,'unskilled resident',0,none,yes,good
'no checking',0.470588,'critical/other existing credit','new car',0.418455,<100,1<=X<4,1,'female div/dep/mar',none,0.333333,'real estate',0.107143,stores,own,0.333333,skilled,0,yes,yes,bad
<0,0.117647,'existing paid',radio/tv,0.078684,500<=X<1000,>=7,0.666667,'male mar/wid',none,0,'real estate',0.285714,none,own,0,skilled,0,none,yes,good
'no checking',0.647059,'critical/other existing credit',radio/tv,0.183119,'no known savings',>=7,1,'male single',none,0,'real estate',0.5,none,own,0,skilled,0,yes,yes,good
<0,0.558824,'existing paid',radio/tv,0.380984,'no known savings',4<=X<7,1,'female div/dep/mar',none,0.666667,car,0.196429,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
<0,0.088235,'critical/other existing credit',furniture/equipment,0.103555,'no known savings',<1,0.333333,'female div/dep/mar','co applicant',0.666667,'real estate',0.142857,none,rent,0.333333,skilled,0,none,no,good
<0,0.426471,'critical/other existing credit',furniture/equipment,0.2218,500<=X<1000,1<=X<4,0,'female div/dep/mar',none,1,car,0.071429,none,own,0.333333,skilled,0,none,yes,bad
0<=X<200,0.117647,'critical/other existing credit','new car',0.11643,500<=X<1000,4<=X<7,0.666667,'male div/sep',none,0.666667,car,0.303571,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.25,'existing paid',radio/tv,0.087213,<100,1<=X<4,0.666667,'female div/dep/mar',none,0.333333,'real estate',0.107143,none,own,0.333333,skilled,0,yes,yes,bad
'no checking',0.294118,'critical/other existing credit','used car',0.199076,<100,>=7,1,'female div/dep/mar',none,0.333333,car,0.392857,none,rent,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.117647,'existing paid',furniture/equipment,0.083526,<100,1<=X<4,0.666667,'male single',none,0.333333,'real estate',0.089286,none,rent,0,'unskilled resident',0,none,yes,good
>=200,0.088235,'critical/other existing credit','new car',0.029218,<100,>=7,1,'male single',none,1,'no known property',0.785714,none,'for free',0.333333,skilled,0,yes,yes,good
0<=X<200,0.205882,'existing paid',furniture/equipment,0.09211,'no known savings',<1,1,'female div/dep/mar',none,0.666667,'real estate',0.142857,none,rent,0,skilled,0,none,yes,bad
<0,0.117647,'critical/other existing credit','new car',0.102949,<100,1<=X<4,1,'male single',none,0.333333,'life insurance',0.196429,none,own,0.333333,skilled,0,none,yes,good
<0,0.117647,'existing paid',radio/tv,0.024816,<100,1<=X<4,1,'male mar/wid',none,0.333333,'real estate',0.375,none,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.117647,'existing paid',repairs,0.021404,<100,1<=X<4,1,'male single',none,0.333333,car,0.196429,none,own,0,skilled,0,none,yes,bad
0<=X<200,0.117647,'critical/other existing credit','used car',0.088588,<100,unemployed,1,'male single',none,0.333333,car,0.267857,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.117647,'critical/other existing credit','new car',0.178772,<100,1<=X<4,0.666667,'female div/dep/mar','co applicant',0.333333,'real estate',0.178571,none,own,0.333333,skilled,0,none,yes,bad
0<=X<200,0.647059,'existing paid','new car',0.45323,'no known savings',4<=X<7,0,'female div/dep/mar',none,0.333333,car,0.089286,none,own,0,skilled,0,none,yes,good
<0,0.470588,'delayed previously',education,0.365192,<100,1<=X<4,1,'male single',none,0.666667,'life insurance',0.178571,stores,own,0,skilled,0,yes,yes,bad
'no checking',0.161765,'existing paid',furniture/equipment,0.135248,<100,<1,0.333333,'male single',none,0.666667,'life insurance',0.142857,bank,own,0.333333,'unskilled resident',0,none,yes,good
'no checking',0.205882,'existing paid',furniture/equipment,0.095411,<100,1<=X<4,1,'male single',none,1,'no known property',0.5,bank,'for free',0.333333,skilled,0,none,yes,good
'no checking',0.823529,'existing paid',radio/tv,0.544404,100<=X<500,4<=X<7,0.333333,'female div/dep/mar',none,1,'real estate',0.035714,none,own,0,skilled,0,yes,yes,good
'no checking',0.117647,'critical/other existing credit',radio/tv,0.054473,'no known savings',>=7,1,'female div/dep/mar',none,0.333333,'real estate',0.339286,none,own,0.333333,skilled,0,yes,yes,good
'no checking',0.338235,'delayed previously','used car',0.460163,>=1000,1<=X<4,0.333333,'male single',none,0.333333,car,0.142857,none,own,0.333333,skilled,0,none,yes,good
0<=X<200,0.117647,'existing paid',radio/tv,0.028392,500<=X<1000,1<=X<4,1,'male single',none,0.666667,'real estate',0.839286,none,own,0,'unskilled resident',0,none,yes,bad
0<=X<200,0.161765,'critical/other existing credit',radio/tv,0.136349,'no known savings',4<=X<7,1,'male single',guarantor,0.333333,'real estate',0.285714,bank,own,0.666667,skilled,0,yes,yes,good
>=200,0.117647,'existing paid',radio/tv,0.089744,<100,1<=X<4,0.333333,'female div/dep/mar',none,0.333333,car,0.446429,none,rent,0,'unskilled resident',0,yes,yes,good
>=200,0.029412,'existing paid','new car',0.025256,>=1000,<1,0.333333,'male mar/wid',none,0.333333,'real estate',0.142857,none,own,0,'unemp/unskilled non res',0,none,no,good
0<=X<200,0.470588,'existing paid',radio/tv,0.250083,<100,<1,1,'female div/dep/mar',none,0,'no known property',0.196429,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.338235,'existing paid',radio/tv,0.174205,<100,1<=X<4,0.666667,'male single',none,0.333333,car,0.142857,none,own,0,'high qualif/self emp/mgmt',0,none,yes,good
<0,0.205882,'existing paid',furniture/equipment,0.121712,<100,1<=X<4,0.333333,'male single',none,0.333333,car,0.053571,none,own,0,skilled,0,none,yes,bad
'no checking',0.25,'critical/other existing credit',furniture/equipment,0.112138,<100,<1,1,'female div/dep/mar',none,1,'life insurance',0.071429,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.647059,'all paid',business,0.182458,100<=X<500,4<=X<7,1,'male single',none,0.333333,car,0.196429,none,own,0,skilled,0,none,yes,good
<0,0.029412,'critical/other existing credit','new car',0.033564,<100,>=7,0,'female div/dep/mar',none,1,'no known property',0.357143,none,own,0.333333,skilled,0,yes,yes,good
'no checking',0.117647,'critical/other existing credit','new car',0.02377,100<=X<500,4<=X<7,1,'female div/dep/mar',none,0.666667,car,0.571429,none,own,0.333333,skilled,0,yes,yes,good
<0,0.470588,'critical/other existing credit',furniture/equipment,0.281776,<100,1<=X<4,0.666667,'male single',guarantor,0.333333,'life insurance',0.160714,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.205882,'critical/other existing credit',radio/tv,0.073292,>=1000,>=7,1,'male single',none,1,car,0.482143,none,own,0.333333,skilled,0,none,yes,good
